Phantom ID,Phantom Power,SART LOS Power (beta=0),SART LOS corr,iter,SART Volume Power (beta=0),SART Volume corr,iter,C-SART LOS Power  (beta=1000),C-SART LOS corr,iter,C-SART Volume Power  (beta=1000),C-SART Volume corr,iter,C-SART LOS Power  (beta=80),C-SART LOS corr,iter,C-SART Volume Power  (beta=80),C-SART Volume corr,iter
69,14.4,13.94,0.744,150,14.16,0.91,115,14.12,0.868,150,14.21,0.931,150,14.27,0.949,150,14.31,0.961,150
70,14.38,13.91,0.65,119,14.15,0.798,147,13.95,0.662,13,14.15,0.83,121,14.14,0.867,118,14.11,0.892,150
71,13.52,13.56,0.561,36,13.64,0.74,131,13.64,0.732,150,13.6,0.778,117,13.5,0.854,150,13.5,0.841,60
72,14.44,13.86,0.729,150,14.12,0.892,150,14.05,0.851,150,14.14,0.91,109,14.24,0.945,150,14.28,0.956,150
73,14.35,13.76,0.653,137,14.02,0.795,98,13.94,0.772,150,14.03,0.813,73,14.05,0.864,150,14.04,0.884,150
74,13.73,13.48,0.582,47,13.6,0.759,150,13.57,0.747,150,13.58,0.793,150,13.54,0.856,150,13.5,0.867,150
75,14.5,13.9,0.739,150,14.18,0.882,127,14.12,0.85,150,14.23,0.908,140,14.3,0.932,150,14.34,0.947,150
76,14.39,13.89,0.715,146,14.14,0.85,136,14.07,0.822,150,14.15,0.877,118,14.14,0.893,70,14.16,0.931,150
77,13.82,13.68,0.7,33,13.76,0.851,150,13.71,0.738,28,13.74,0.882,150,13.69,0.919,150,13.62,0.927,150
78,13.0,13.09,0.739,150,12.95,0.884,136,13.07,0.868,150,12.95,0.901,98,12.97,0.956,150,12.96,0.962,150
79,11.84,12.01,0.728,150,11.81,0.896,106,11.98,0.866,150,11.81,0.911,95,11.83,0.962,150,11.82,0.968,150
80,11.36,11.76,0.72,150,11.45,0.899,128,11.66,0.861,150,11.45,0.915,99,11.44,0.962,150,11.43,0.967,150
81,11.45,11.57,0.743,150,11.43,0.894,108,11.56,0.869,150,11.44,0.907,94,11.54,0.901,28,11.47,0.959,150
82,16.56,18.6,0.761,98,17.19,0.938,150,17.87,0.896,150,17.14,0.954,150,17.05,0.98,150,17.13,0.958,30
83,16.6,18.58,0.761,95,17.22,0.937,150,17.87,0.896,150,17.18,0.953,150,17.09,0.98,150,17.06,0.974,74
84,16.66,18.55,0.76,91,17.27,0.936,150,17.88,0.895,150,17.23,0.953,150,17.15,0.979,145,17.12,0.973,70
