# id, point_a.x, point_a.y, point_b.x, point_b.y, point_c.x, point_c.y, point_d.x, point_d.y
124,1.5543,-1.0662,1.5543,-1.056,1.5643,-1.056,1.5643,-1.0662
125,1.5643,-1.0662,1.5643,-1.056,1.5744,-1.056,1.5744,-1.0662
126,1.5744,-1.0662,1.5744,-1.056,1.5845,-1.056,1.5845,-1.0662
127,1.5845,-1.0662,1.5845,-1.056,1.5946,-1.056,1.5946,-1.0662
128,1.5946,-1.0662,1.5946,-1.056,1.6047,-1.056,1.6047,-1.0662
129,1.6047,-1.0662,1.6047,-1.056,1.6147,-1.056,1.6147,-1.0662
130,1.6147,-1.0662,1.6147,-1.056,1.6248,-1.056,1.6248,-1.0662
131,1.6248,-1.0662,1.6248,-1.056,1.6349,-1.056,1.6349,-1.0662
132,1.2519,-1.056,1.2519,-1.0457,1.262,-1.0457,1.262,-1.056
133,1.262,-1.056,1.262,-1.0457,1.2721,-1.0457,1.2721,-1.056
134,1.2721,-1.056,1.2721,-1.0457,1.2822,-1.0457,1.2822,-1.056
135,1.2822,-1.056,1.2822,-1.0457,1.2922,-1.0457,1.2922,-1.056
136,1.2922,-1.056,1.2922,-1.0457,1.3023,-1.0457,1.3023,-1.056
137,1.3023,-1.056,1.3023,-1.0457,1.3124,-1.0457,1.3124,-1.056
138,1.3124,-1.056,1.3124,-1.0457,1.3225,-1.0457,1.3225,-1.056
139,1.3225,-1.056,1.3225,-1.0457,1.3326,-1.0457,1.3326,-1.056
140,1.3326,-1.056,1.3326,-1.0457,1.3426,-1.0457,1.3426,-1.056
141,1.3426,-1.056,1.3426,-1.0457,1.3527,-1.0457,1.3527,-1.056
142,1.3527,-1.056,1.3527,-1.0457,1.3628,-1.0457,1.3628,-1.056
143,1.4535,-1.056,1.4535,-1.0457,1.4636,-1.0457,1.4636,-1.056
144,1.4636,-1.056,1.4636,-1.0457,1.4736,-1.0457,1.4736,-1.056
145,1.4736,-1.056,1.4736,-1.0457,1.4837,-1.0457,1.4837,-1.056
146,1.4837,-1.056,1.4837,-1.0457,1.4938,-1.0457,1.4938,-1.056
147,1.4938,-1.056,1.4938,-1.0457,1.5039,-1.0457,1.5039,-1.056
148,1.5039,-1.056,1.5039,-1.0457,1.514,-1.0457,1.514,-1.056
149,1.514,-1.056,1.514,-1.0457,1.524,-1.0457,1.524,-1.056
150,1.524,-1.056,1.524,-1.0457,1.5341,-1.0457,1.5341,-1.056
151,1.5341,-1.056,1.5341,-1.0457,1.5442,-1.0457,1.5442,-1.056
152,1.5442,-1.056,1.5442,-1.0457,1.5543,-1.0457,1.5543,-1.056
153,1.5543,-1.056,1.5543,-1.0457,1.5643,-1.0457,1.5643,-1.056
154,1.5643,-1.056,1.5643,-1.0457,1.5744,-1.0457,1.5744,-1.056
155,1.5744,-1.056,1.5744,-1.0457,1.5845,-1.0457,1.5845,-1.056
156,1.5845,-1.056,1.5845,-1.0457,1.5946,-1.0457,1.5946,-1.056
157,1.5946,-1.056,1.5946,-1.0457,1.6047,-1.0457,1.6047,-1.056
158,1.6047,-1.056,1.6047,-1.0457,1.6147,-1.0457,1.6147,-1.056
159,1.6147,-1.056,1.6147,-1.0457,1.6248,-1.0457,1.6248,-1.056
160,1.6248,-1.056,1.6248,-1.0457,1.6349,-1.0457,1.6349,-1.056
161,1.262,-1.0457,1.262,-1.0355,1.2721,-1.0355,1.2721,-1.0457
162,1.2721,-1.0457,1.2721,-1.0355,1.2822,-1.0355,1.2822,-1.0457
163,1.2822,-1.0457,1.2822,-1.0355,1.2922,-1.0355,1.2922,-1.0457
164,1.2922,-1.0457,1.2922,-1.0355,1.3023,-1.0355,1.3023,-1.0457
165,1.3023,-1.0457,1.3023,-1.0355,1.3124,-1.0355,1.3124,-1.0457
166,1.3124,-1.0457,1.3124,-1.0355,1.3225,-1.0355,1.3225,-1.0457
167,1.3225,-1.0457,1.3225,-1.0355,1.3326,-1.0355,1.3326,-1.0457
168,1.3326,-1.0457,1.3326,-1.0355,1.3426,-1.0355,1.3426,-1.0457
169,1.3426,-1.0457,1.3426,-1.0355,1.3527,-1.0355,1.3527,-1.0457
170,1.3527,-1.0457,1.3527,-1.0355,1.3628,-1.0355,1.3628,-1.0457
171,1.3628,-1.0457,1.3628,-1.0355,1.3729,-1.0355,1.3729,-1.0457
172,1.3729,-1.0457,1.3729,-1.0355,1.3829,-1.0355,1.3829,-1.0457
173,1.3829,-1.0457,1.3829,-1.0355,1.393,-1.0355,1.393,-1.0457
174,1.393,-1.0457,1.393,-1.0355,1.4031,-1.0355,1.4031,-1.0457
175,1.4031,-1.0457,1.4031,-1.0355,1.4132,-1.0355,1.4132,-1.0457
176,1.4132,-1.0457,1.4132,-1.0355,1.4233,-1.0355,1.4233,-1.0457
177,1.4233,-1.0457,1.4233,-1.0355,1.4333,-1.0355,1.4333,-1.0457
178,1.4333,-1.0457,1.4333,-1.0355,1.4434,-1.0355,1.4434,-1.0457
179,1.4434,-1.0457,1.4434,-1.0355,1.4535,-1.0355,1.4535,-1.0457
180,1.4535,-1.0457,1.4535,-1.0355,1.4636,-1.0355,1.4636,-1.0457
181,1.4636,-1.0457,1.4636,-1.0355,1.4736,-1.0355,1.4736,-1.0457
182,1.4736,-1.0457,1.4736,-1.0355,1.4837,-1.0355,1.4837,-1.0457
183,1.4837,-1.0457,1.4837,-1.0355,1.4938,-1.0355,1.4938,-1.0457
184,1.4938,-1.0457,1.4938,-1.0355,1.5039,-1.0355,1.5039,-1.0457
185,1.5039,-1.0457,1.5039,-1.0355,1.514,-1.0355,1.514,-1.0457
186,1.514,-1.0457,1.514,-1.0355,1.524,-1.0355,1.524,-1.0457
187,1.524,-1.0457,1.524,-1.0355,1.5341,-1.0355,1.5341,-1.0457
188,1.5341,-1.0457,1.5341,-1.0355,1.5442,-1.0355,1.5442,-1.0457
189,1.5442,-1.0457,1.5442,-1.0355,1.5543,-1.0355,1.5543,-1.0457
190,1.5543,-1.0457,1.5543,-1.0355,1.5643,-1.0355,1.5643,-1.0457
191,1.5643,-1.0457,1.5643,-1.0355,1.5744,-1.0355,1.5744,-1.0457
192,1.5744,-1.0457,1.5744,-1.0355,1.5845,-1.0355,1.5845,-1.0457
193,1.5845,-1.0457,1.5845,-1.0355,1.5946,-1.0355,1.5946,-1.0457
194,1.5946,-1.0457,1.5946,-1.0355,1.6047,-1.0355,1.6047,-1.0457
195,1.6047,-1.0457,1.6047,-1.0355,1.6147,-1.0355,1.6147,-1.0457
196,1.6147,-1.0457,1.6147,-1.0355,1.6248,-1.0355,1.6248,-1.0457
197,1.6248,-1.0457,1.6248,-1.0355,1.6349,-1.0355,1.6349,-1.0457
198,1.262,-1.0355,1.262,-1.0252,1.2721,-1.0252,1.2721,-1.0355
199,1.2721,-1.0355,1.2721,-1.0252,1.2822,-1.0252,1.2822,-1.0355
200,1.2822,-1.0355,1.2822,-1.0252,1.2922,-1.0252,1.2922,-1.0355
